feature,importance_rf
пропилен R1B,0.07441935709588425
нефрас R1B,0.06961221911747828
донор R1B,0.06505964317955179
К R1A,0.06165188267923046
ТЭА/КК Р1В,0.05997703159691119
пропилен R1A,0.05888813134373099
донор/КК З1В,0.05746404177465227
нефрас R1A,0.05680268493128314
давление R1B,0.05648247045149877
ТЭА R1B,0.051568982959495434
К R1B,0.05025795643328622
ТЭА/КК Р1А,0.046524450822842456
давление R1A,0.04577483403478017
донор R1A,0.039759132311593726
ПП/нр Р1В,0.03843844408593218
донор/КК Р1А,0.037904516449762546
водород R1B,0.03409792004824738
ТЭА R1A,0.03228063663200871
водород R1A,0.03185891664283219
Н2/ПП Р1В,0.012186076911851966
Н2/ПП Р1А,0.009704115956378987
ПП/нр Р1А,0.00928655454076697
