feature,importance_xgb
пропилен R1B,0.17808987
нефрас R1A,0.07486114
нефрас R1B,0.06544589
пропилен R1A,0.056457672
ТЭА/КК Р1В,0.046880785
донор R1B,0.04662044
донор/КК З1В,0.042159643
К R1B,0.041263495
К R1A,0.04083619
давление R1A,0.03719186
водород R1B,0.034754973
ТЭА/КК Р1А,0.034539945
донор R1A,0.03351807
давление R1B,0.032910075
ТЭА R1B,0.030740447
водород R1A,0.030053932
Н2/ПП Р1А,0.028607571
ПП/нр Р1В,0.027162822
Н2/ПП Р1В,0.026682999
донор/КК Р1А,0.024123296
ТЭА R1A,0.023561236
ПП/нр Р1А,0.01830544
температура R1A,0.013096384
температура R1B,0.012135834
