feature,importance_mlp
донор/КК Р1А,0.28266535597117437
ТЭА/КК Р1В,0.22561541415171316
ТЭА R1B,0.22418127540051278
ТЭА/КК Р1А,0.22366670590592444
давление R1A,0.2174481331899069
донор R1A,0.20096906320872146
давление R1B,0.19464416279853924
К R1A,0.18677701462130333
ТЭА R1A,0.17867011787504608
донор/КК З1В,0.16885063333843886
водород R1B,0.16662388431474257
К R1B,0.16054290417575803
донор R1B,0.15616510458217847
водород R1A,0.15325905999243777
Н2/ПП Р1А,0.1487430818044963
ПП/нр Р1А,0.1465947335030032
Н2/ПП Р1В,0.1452899819321979
пропилен R1B,0.13400363695043496
ПП/нр Р1В,0.12155785529044288
нефрас R1A,0.12112478978803294
нефрас R1B,0.11906874174403813
пропилен R1A,0.11751479631011237
температура R1B,0.07591647716400673
температура R1A,0.061441161988867954
